Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fineNumber of lines treated with Voigt profiles: 27
Number of wavelength points: 904
wave (nm)    log10(flux) (cgs) 
1509.9875   14.1232
1523.9592   14.1099
1538.0602   14.0965
1552.2917   14.0831
1566.6549   14.0697
1581.151   14.0563
1595.7812   14.0429
1610.5468   14.0294
1625.449   14.0159
1640.4891   14.0024
1655.6684   13.9889
1670.9881   13.9753
1686.4495   13.9617
1702.0541   13.9482
1717.803   13.9345
1733.6976   13.9209
1749.7393   13.9072
1765.9294   13.8936
1782.2694   13.8799
1798.7605   13.8661
1815.4043   13.8524
1832.202   13.8386
1849.1551   13.8248
1866.2652   13.811
1883.5335   13.7972
1900.9616   13.7834
1918.551   13.7695
1936.3031   13.7557
1954.2195   13.7418
1972.3017   13.7278
1990.5512   13.7139
2008.9695   13.7
2027.5583   13.686
2046.3191   13.672
2065.2534   13.658
2084.363   13.644
2103.6493   13.6299
2123.1142   13.6159
2142.7591   13.6018
2162.5858   13.5877
2182.596   13.5736
2202.7913   13.5595
2223.1735   13.5453
2243.7442   13.5312
2264.5053   13.517
2285.4585   13.5028
2306.6056   13.4886
2327.9484   13.4744
2349.4886   13.4602
2371.2282   13.4459
2393.1689   13.4316
2415.3126   13.4174
2437.6612   13.4031
2460.2166   13.3887
2482.9807   13.3744
2505.9555   13.3601
2529.1428   13.3457
2552.5447   13.3314
